"Zuccini", 78.97, 714
"Sandia", 70.46, 783
"Apio", 64.81, 267
"Uva", 676.82, 270
"Naranja", 11.90, 1000
"Durazno", 161.32, 896
"Esparrago", 611.80, 214
"Sandia", 57.53, 837
"Batata", 22.61, 1060
"Zuccini", 89.75, 492
"Batata", 19.97, 880
"Berenjena", 58.52, 564
"Coliflor", 35.20, 430
"Ajo", 934.62, 96
"Durazno", 243.55, 744
"Alcachofa", 119.08, 267
"Champignon", 3556.96, 113
"Calabaza", 21.45, 856
"Ajo", 908.92, 97
"Ajo", 870.67, 95
"Frutilla", 298.92, 246
"Durazno", 293.11, 768
"Durazno", 177.04, 960
"Esparrago", 577.15, 240
"TomCherry", 528.94, 198
"Limon", 306.59, 700
"Uva", 692.33, 297
"Naranja", 7.49, 840
"Morron", 2997.25, 642
"Brocoli", 339.88, 388
"Lechuga", 39.12, 801
"Calabaza", 21.67, 944
"Cebolla", 54.88, 888
"Palta", 493.63, 540
"Lima", 1025.31, 238
"Caqui", 825.54, 110
"TomCherry", 580.70, 202
"Choclo", 70.55, 273
"Frambuesa", 2084.90, 85
"Kiwi", 452.39, 376
"Limon", 347.00, 700
"Naranja", 17.16, 920
"Ajo", 928.53, 112
"Rabanito", 225.41, 279
"Mandarina", 16.41, 880
"Batata", 22.20, 1150
"Pepino", 32.68, 400
"Batata", 20.90, 980
"Higo", 2455.06, 114
"Esparrago", 665.76, 238
"Pera", 151.84, 1000
"Brocoli", 347.67, 472
"Caqui", 866.85, 97
"Repollo", 2.47, 763
"Papa", 13.58, 1160
"Kinoto", 35.94, 168
"Durazno", 134.48, 648
"Frutilla", 295.45, 282
"Morron", 3069.12, 504
"Papa", 21.85, 1060
"Esparrago", 621.88, 234
"Rabanito", 218.40, 312
"Durazno", 160.39, 856
"Naranja", 17.36, 1070
"Pomelo", 43.64, 774
"Kiwi", 473.99, 380
"Frambuesa", 2016.05, 115
"Lechuga", 40.59, 783
"Coliflor", 18.25, 455
"Lima", 1014.23, 192
